country,x,y
Algeria,-131.0,204.0
Angola,-17.0,-104.0
Benin,-127.0,63.0
Botswana,32.0,-184.0
Burkina Faso,-156.0,84.0
Burundi,81.0, -38.0
Cabo Verde,-316.0, 114.0
Cameroon,-58.0,29.0
Central African Republic,15.0,44.0
Chad,-5.0,123.0
Comoros,194.0,-100.0
Congo Democratic,27.0,-18.0
Congo Republic,-28.0,-10.0
Côte d'Ivoire,-187.0,45.0
Djibouti,176.0,76.0
Egypt,67.0, 192.0
Equatorial Guinea,-71.0,-0.0
Eritrea,142.0,108.0
Eswatini,91.0,-217.0
Ethiopia,148.0,53.0
Gabon,-61.0,-17.0
Gambia,-265.0,88.0
Ghana,-163.0,45.0
Guinea,-232.0,68.0
Guinea-Bissau,-256.0,79.0
Kenya,138.0,-7.0
Lesotho,69.0,-242.0
Liberia,-217.0,35.0
Libya,-13.0,196.0
Madagascar,201.0,-171.0
Malawi,111.0,-116.0
Mali,-160.0,128.0
Mauritania,-217.0, 141.0
Mauritius,279.0,-168.0
Morocco,-193.0,245.0
Mozambique,118.0,-147.0
Namibia,-21.0,-174.0
Niger,-75.0,120.0
Nigeria,-88.0,59.0
Rwanda,81.0,-26.0
São Tomé and Principe,-98.0,-9.0
Senegal,-259.0,101.0
Seychelles,294.0,-52.0
Sierra Leone,-214.0,35.0
Somalia,188.0,11.0
South Africa,26.0,-253.0
South Sudan,79.0,43.0
Sudan,80.0,113.0
Tanzania,116.0,-58.0
Togo,-148.0,51.0
Tunisia,-77.0,256.0
Uganda,99.0,1.0
Zambia,60.0,-118.0
Zimbabwe,78.0,-155.0
